CITY,POSTING_DATE,MAX_PRICE,PRICE_SQFT,AGE,BALCONY_NUM,FLOOR_NUM,BEDROOM_NUM,MAX_AREA_SQFT
1,1690986386,8000,8.0,3,0,2,2,88.25785
6,0,25000,83.0,3,1,3,1,27.8709
6,0,25000,62.0,3,2,3,1,37.1612
8,1684501143,32000,31.0,1,0,10,3,93.088806
5,0,15000,50.0,2,1,4,1,27.8709
4,1689678945,8000,14.0,2,1,5,1,51.09665
8,1685022937,32000,33.0,1,0,7,3,89.001076
8,1692286714,17000,16.0,6,2,2,2,97.54815
8,1692286046,17000,16.0,6,2,2,2,97.54815
8,1692284688,20000,11.0,6,3,8,3,163.04477
8,1692284361,17000,9.0,6,3,8,3,163.04477
8,1692283154,20000,11.0,6,3,12,3,163.04477
8,1692282665,17000,9.0,6,3,11,3,163.04477
8,1690098808,18000,21.0,2,1,3,2,78.03852
8,1689610656,20000,22.0,2,1,3,2,80.82561
8,1689336829,18000,20.0,1,1,3,2,82.68367
8,1690449747,18000,21.0,1,1,2,2,78.96755
8,1689611466,20000,16.0,1,2,11,3,113.34166
8,1689774187,20000,11.0,2,3,11,3,163.04477
8,1690124208,20000,11.0,1,2,15,3,163.04477
8,1690445714,18000,21.0,1,1,4,2,78.03852
8,1690444438,17000,20.0,1,1,7,2,76.18046
8,1690310963,18000,21.0,1,1,3,2,78.03852
8,1689346203,20000,13.0,6,2,3,4,138.42548
8,1688214167,18000,22.0,1,1,4,2,74.3224
2,1672823294,45000,21.0,6,2,6,4,195.0963
3,1683368715,16500,27.0,6,3,18,2,55.927605
8,1692362897,16000,24.0,6,0,12,2,61.780495
8,1692286347,16000,15.0,6,2,2,2,97.54815
8,1692283930,16000,9.0,6,3,8,3,163.04477
8,1690449437,16000,20.0,1,1,3,2,74.3224
2,1690276862,35000,17.0,1,3,0,4,185.806
8,1690124753,16000,9.0,1,2,11,3,162.58025
8,1690099198,16000,19.0,1,1,3,2,78.03852
8,1689776292,16000,16.0,1,2,3,2,88.25785
8,1689340484,16000,17.0,2,1,3,2,82.68367
8,1691070379,16000,19.0,6,1,4,2,78.03852
8,1691068096,16000,15.0,6,2,11,3,96.89783
8,1690311404,16000,9.0,1,3,11,3,163.04477
8,1690264670,16000,250.0,1,1,3,2,63.82436
8,1689345464,16000,22.0,2,1,10,2,66.23984
8,1691069800,16000,18.0,6,1,4,2,80.82561
8,1689848458,16000,12.0,3,0,5,3,116.12875
8,1689686787,16000,27.0,6,0,10,1,54.81277
8,1690445360,16000,19.0,1,1,4,2,78.03852
8,1690032795,16000,24.0,2,0,4,2,60.38695
8,1687525146,16000,16.0,3,0,10,2,92.903
8,1675169107,35000000,32618.0,5,0,1,3,122.07454
8,1692330494,15000,23.0,2,0,3,2,60.38695
8,1692172359,15000,18.0,1,2,4,2,73.85789
8,1691068237,15000,14.0,6,2,11,3,96.89783
8,1690443326,15000,18.0,1,1,11,2,73.39337
8,1690310250,15000,17.0,1,1,3,2,80.82561
8,1689759171,15000,25.0,6,0,10,2,53.60503
8,1689847076,15000,15.0,3,0,10,3,88.25785
8,1688472506,15000,16.0,3,0,2,2,83.6127
4,1690054999,7500,10.0,1,2,4,2,69.67725
8,1690098123,15000,17.0,2,2,3,2,80.82561
4,1689657398,6999,9.0,1,3,6,2,69.67725
8,1681457426,15000,50.0,1,2,8,4,27.8709
1,1689166025,10000,11.0,2,0,6,3,78.96755
8,1689073445,15000,21.0,3,0,4,2,65.0321
8,1687962959,15000,50.0,6,2,5,1,27.8709
1,1687688000,6500,10.0,2,0,2,2,60.38695
8,1686841757,15000,17.0,1,0,16,2,78.50304
8,1687598738,15000,14.0,2,1,3,3,97.54815
8,1684932476,15000,10.0,6,2,17,4,139.3545
1,1684491171,9000,13.0,2,0,3,2,59.922436
8,1685105028,15000,10.0,6,1,17,3,139.3545
8,1670912168,0,0.0,5,0,1,4,222.9672
8,1670912166,56100000,32306.0,5,0,1,3,171.49893
8,1685107151,15000,11.0,6,1,11,3,125.41905
8,1691657167,14500,17.0,1,0,4,2,78.96755
6,1687114898,30000,50.0,3,0,3,2,55.7418
1,1684411238,6500,10.0,2,0,5,2,60.38695
8,1692904261,14250,16.0,3,0,3,2,81.29012
5,0,22000,61.0,3,1,0,1,25.548325
6,0,26000,26.0,3,0,7,2,92.903
6,1671730153,25000,22.0,3,0,8,2,102.1933
6,1674268488,24500,22.0,3,0,5,2,102.1933
8,1692285113,14000,13.0,6,2,2,2,97.54815
6,0,22500,18.0,3,0,3,2,116.12875
6,1653617432,25000,19.0,3,1,3,2,120.7739
6,0,25000,20.0,3,0,5,1,111.4836
8,1690901416,14000,18.0,6,2,5,2,69.67725
8,1690449004,14000,16.0,1,1,3,2,78.03852
8,1690312279,14000,17.0,1,1,3,2,74.3224
8,1690226349,14000,16.0,1,1,3,2,80.82561
8,1689340225,14000,14.0,1,1,3,2,91.04494
6,1654629308,18000,27.0,3,0,9,1,60.38695
6,0,25000,13.0,3,1,8,1,167.2254
6,1674267798,26000,14.0,3,1,4,3,167.2254
6,1653672381,27500,19.0,3,1,5,2,130.0642
8,1691385002,14000,2.0,1,2,1,2,619.47723
8,1688038065,14000,9.0,3,0,6,3,143.99965
8,1689685610,14000,10.0,2,1,10,3,118.91584
8,1684175975,14000,14.0,1,0,4,2,92.903
0,1678537143,14000,20.0,3,0,4,2,63.17404
0,1678035619,15000,50.0,2,0,5,1,27.8709
8,1684054276,15000,13.0,1,1,10,1,100.24234
8,1684143511,15000,10.0,5,2,15,3,139.3545
0,1686117225,9099000,18916.0,5,0,1,2,44.686344
0,1686117222,6899000,18792.0,5,0,1,1,35.30314
8,1684062355,15000,13.0,6,2,11,3,100.33524
6,1686695935,19000,22.0,3,2,1,2,79.98949
6,0,13000,37.0,2,1,2,1,32.51605
6,1661458252,11000,47.0,3,0,1,1,21.460592
6,1686694722,13000,11.0,3,2,1,3,104.05136
6,1686695346,17000,18.0,3,1,2,2,85.84237
6,0,17000,61.0,3,1,3,2,25.548325
6,0,12000,21.0,3,1,4,1,51.09665
6,1686694103,12000,16.0,3,1,2,2,68.93403
6,0,15000,26.0,2,1,1,1,52.95471
2,1688779001,12000,24.0,3,0,3,2,46.4515
4,1678878616,5670000,35997.0,5,0,1,2,58.62179
0,1692612686,13000,13.0,1,0,8,2,92.903
8,1690310019,13000,13.0,2,2,5,2,91.04494
0,1690026645,13001,13.0,2,2,3,2,92.903
8,1692252247,13000,16.0,2,2,3,2,74.3224
0,1692188913,13000,10.0,2,3,4,3,111.4836
0,1691416325,13000,13.0,1,1,4,2,92.903
8,1691749286,13000,14.0,3,1,3,3,85.93527
0,1680164970,13000,18.0,2,0,8,2,64.10307
8,1686487462,2600,6.0,3,1,5,1,37.1612
8,1690274126,13000,10.0,1,2,1,2,111.4836
8,1690084976,13000,13.0,1,2,3,2,92.903
0,0,13000,43.0,2,0,4,1,27.8709
0,1689067012,13000,16.0,1,0,8,2,106.83845
0,1689065781,13000,16.0,1,0,11,2,102.1933
8,1687597968,13000,13.0,3,1,8,2,88.25785
8,1687459261,13000,18.0,2,0,6,2,65.2179
5,1665563420,15000,83.0,3,0,5,1,16.72254
2,1692473382,16000,44.0,3,1,4,1,33.44508
2,1692431772,20000,61.0,3,1,2,1,30.193476
2,1692431308,35000,40.0,3,1,1,2,80.82561
2,1692164058,19000,24.0,3,2,2,2,72.46434
2,1691656152,30000,111.0,3,1,2,1,25.08381
2,1690964654,15400,18.0,3,1,3,2,78.96755
2,1690964129,34000,69.0,3,1,2,1,45.52247
2,1690452049,30000,66.0,3,1,1,2,41.80635
4,1683360086,7000,11.0,2,2,1,2,57.59986
6,1691042314,10000,13.0,3,2,3,2,68.74822
2,1690963651,35000,77.0,3,1,2,1,41.80635
4,1683370874,7000,11.0,2,1,2,1,57.59986
2,1688805856,20000,57.0,3,1,2,1,32.51605
4,0,5500,7.0,2,1,1,1,65.0321
2,1689945330,10000,17.0,3,2,1,2,53.88374
2,1689585090,11000,23.0,3,1,2,1,42.73538
2,1689584535,6000,17.0,3,1,1,1,32.51605
6,1689930892,18000,51.0,3,1,0,1,32.51605
2,1689584103,10000,22.0,3,1,1,1,41.80635
6,1689585548,10000,26.0,3,1,3,1,34.838627
4,0,6000,8.0,2,1,2,2,69.67725
6,1688979984,10200,15.0,3,1,2,2,60.38695
6,1688980756,7200,20.0,3,1,5,1,32.51605
6,1687804780,10000,15.0,3,1,3,2,60.38695
0,1685008559,13000,8.0,6,1,25,2,139.3545
8,1692377310,12500,11.0,2,1,11,2,103.12233
8,1688462037,12500,16.0,3,0,3,2,69.67725
0,1682175871,12500,22.0,3,1,2,2,52.02568
2,1688875346,25000,35.0,3,1,1,2,65.0321
2,1689701228,7000,9.0,3,3,2,2,69.67725
0,1692613088,12000,12.0,1,0,5,2,91.04494
0,1692611142,12000,16.0,1,4,6,2,92.903
8,1692363601,12000,18.0,6,2,15,2,59.086308
0,1690022951,12001,12.0,3,2,2,2,91.04494
8,1692283559,12000,6.0,6,3,8,3,163.04477
0,1692112887,12000,8.0,3,1,1,3,130.0642
8,1690356921,12000,15.0,1,1,4,2,74.3224
8,1673261630,12000,10.0,6,2,5,2,111.4836
8,1690099663,12000,10.0,1,1,4,2,101.72878
0,1680079479,12000,16.0,2,0,12,2,65.96113
0,1690017561,12000,12.0,2,2,3,2,91.04494
8,1689833104,12000,7.0,1,3,6,3,148.6448
0,1680078236,12000,48.0,3,0,7,1,23.22575
8,1690396686,12000,12.0,2,2,3,2,91.04494
8,1690796387,12000,31.0,2,1,2,2,35.30314
0,1668969501,12000,10.0,1,1,9,2,111.4836
0,1689258260,12000,12.0,6,1,3,2,92.903
0,1690085545,12000,11.0,2,1,3,2,97.54815
8,1689335921,12000,8.0,1,1,3,3,125.41905
8,1688755181,12000,10.0,1,0,10,2,111.4836
8,1687963408,12000,12.0,1,2,5,2,92.903
8,1687525787,12000,12.0,1,1,15,2,88.25785
0,1692007805,15000,21.0,1,0,11,1,65.0321
0,1688379650,25000,22.0,2,0,6,1,102.1933
0,1678538643,12500,41.0,2,0,4,1,27.8709
0,1682177307,12000,21.0,3,1,3,2,52.02568
0,1682176871,12000,20.0,3,1,2,2,53.88374
2,1689757969,27700000,36982.0,5,0,1,2,69.58435
6,1690001176,6000,8.0,3,0,2,1,69.67725
6,1690001725,4500,6.0,3,0,2,1,69.67725
6,1689051891,17500,23.0,3,0,2,1,69.67725
8,1684934232,12000,10.0,1,1,12,2,102.1933
8,1684501380,12350,8.0,0,2,14,3,139.3545
0,1692953081,11000,18.0,1,0,5,2,111.4836
0,1692880799,11000,11.0,2,2,4,2,91.04494
0,1692497698,11000,13.0,3,2,3,2,74.3224
6,1686213634,20000,22.0,3,0,1,2,83.6127
6,1686855003,20000,18.0,3,0,2,2,102.1933
6,1692386988,50000,100.0,3,0,0,1,46.4515
6,1692386303,15000,33.0,3,0,0,1,41.80635
6,1692272507,20000,16.0,1,0,6,3,111.4836
0,1692213165,11001,12.0,2,2,5,2,83.6127
0,1684309392,13500,11.0,2,1,8,1,135.91708
0,1684310297,16000,10.0,2,0,4,3,138.33257
2,1689580214,24000,20.0,1,1,1,3,111.4836
0,1692080893,11000,12.0,2,2,5,2,80.08238
8,1692285451,11000,10.0,6,2,2,2,97.54815
6,1692252707,15000,25.0,3,0,3,2,55.7418
2,1691519653,11000,21.0,3,1,3,2,47.38053
0,1689585233,15000,12.0,6,1,4,3,111.4836
4,1688806135,8000,7.0,2,1,1,3,102.1933
8,1691069110,11000,13.0,6,1,2,2,78.03852
2,1685607407,20000,16.0,1,0,3,2,111.4836
2,1690869836,18500,15.0,3,0,5,3,111.4836
8,1690016134,11000,11.0,1,2,3,2,92.903
6,1679650431,48600000,40000.0,5,0,1,3,112.877144
6,1679650430,33300000,40354.0,5,0,1,2,76.45917
2,0,25000,86.0,3,0,0,1,26.94187
8,1688214739,22000,220.0,1,1,4,2,9.2903
0,1676376351,15000,75.0,6,0,1,1,18.5806
2,1678365257,15000,11.0,1,0,20,3,120.7739
8,1672747569,14000,14.0,6,1,3,3,92.903
2,1668337072,13000,8.0,1,1,22,3,139.3545
2,1684178855,15000,13.0,1,1,2,3,102.1933
2,1672661652,14000,10.0,6,1,11,3,120.7739
2,1689585690,15000,14.0,6,1,6,3,93.83203
2,1689667478,15000,20.0,3,0,0,2,69.67725
8,1689591045,16000,53.0,5,0,4,1,27.8709
2,1689149029,16000,14.0,1,0,7,3,102.1933
2,1689149443,16000,42.0,1,0,2,2,34.838627
2,1689149408,24000,20.0,6,2,3,4,111.4836
0,1689067645,11000,14.0,1,1,10,2,92.903
8,1683458408,13500,61.0,1,1,3,2,20.43866
5,1683533903,11000,16.0,1,0,2,1,60.38695
5,1683534061,11500,20.0,1,0,4,1,51.09665
6,0,35000,125.0,2,0,1,1,26.01284
6,1690968012,30000,25.0,1,3,15,3,111.4836
8,1690034869,20000,25.0,1,0,4,1,74.3224
6,1689237000,47500,67.0,2,2,6,2,65.0321
6,1690467354,22000,14.0,1,1,10,2,136.56741
8,1690035194,22000,31.0,1,1,6,2,65.0321
6,1689236659,15000,21.0,1,2,8,2,65.0321
2,1689235050,15000,20.0,1,2,7,2,69.67725
6,1689407569,47500,38.0,2,0,7,2,115.19972
6,1689235497,47500,55.0,2,0,18,2,78.96755
6,1689063606,25000,12.0,2,3,20,4,278.709
6,1689063904,35000,1.0,2,3,8,3,3251.605
2,1689234730,15000,16.0,1,1,5,2,83.6127
6,1689064559,20000,26.0,2,0,4,2,69.67725
6,1689064114,13000,28.0,2,0,4,1,41.80635
6,1689063238,13000,23.0,2,0,10,1,51.09665
6,1688029386,8000,24.0,2,0,19,1,30.193476
4,1692695697,3600000,10619.0,5,0,1,1,31.494118
8,1675064601,10500,10.0,3,0,3,2,94.76106
8,1688636480,12500,13.0,1,0,4,2,83.6127
4,1690287827,12000,20.0,3,1,1,1,55.277287
4,1690462886,10000,7.0,3,1,7,3,120.7739
4,1688474578,12000,34.0,3,1,1,1,32.51605
5,1684176358,18348000,22969.0,5,0,1,2,77.4811
8,1692535127,10250,12.0,3,0,2,2,74.3224
0,1692816822,10000,8.0,1,1,7,2,111.4836
0,1692497213,10000,10.0,3,2,2,2,85.47076
